# source: https://versionhistory.googleapis.com/v1/chrome/platforms/win/channels/stable/versions?pageSize=1000
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
151.0.7922.139|2026-08-12
151.0.7922.140|2026-08-18
151.0.7922.169|2026-08-18
151.0.7922.170|2026-08-18
151.0.7922.171|2026-08-19
151.0.7922.172|2026-08-20
151.0.7922.173|2026-08-20
151.0.7922.174|2026-08-20
151.0.7922.175|2026-08-25
151.0.7922.176|2026-08-26
152.0.7977.42|2026-08-12
152.0.7977.54|2026-08-19
152.0.7977.64|2026-08-25
152.0.7977.65|2026-08-25
152.0.7977.66|2026-09-01
152.0.7977.75|2026-09-01
152.0.7977.76|2026-09-01
152.0.7977.77|2026-09-03
152.0.7977.78|2026-09-03
152.0.7977.82|2026-09-03
152.0.7977.83|2026-09-03
152.0.7977.84|2026-09-08
152.0.7977.85|2026-09-09
153.0.8010.12|2026-08-26
153.0.8010.27|2026-09-03
153.0.8010.36|2026-09-08
153.0.8010.37|2026-09-08
153.0.8010.47|2026-09-15
153.0.8010.48|2026-09-15
153.0.8010.49|2026-09-16
153.0.8010.50|2026-09-17
153.0.8010.52|2026-09-17
153.0.8010.53|2026-09-17
153.0.8010.54|2026-09-22
154.0.8037.17|2026-09-09
154.0.8037.44|2026-09-16
154.0.8037.57|2026-09-22
154.0.8037.58|2026-09-22
