# source: https://versionhistory.googleapis.com/v1/chrome/platforms/win/channels/stable/versions?pageSize=1000
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
105.0.5195.126|2022-09-13
105.0.5195.127|2022-09-13
105.0.5195.128|2022-09-27
106.0.5249.61|2022-09-27
106.0.5249.62|2022-09-27
106.0.5249.91|2022-09-30
106.0.5249.103|2022-10-06
106.0.5249.119|2022-10-11
106.0.5249.120|2022-10-25
106.0.5249.121|2022-10-27
107.0.5304.62|2022-10-25
107.0.5304.63|2022-10-25
107.0.5304.87|2022-10-27
107.0.5304.88|2022-10-27
107.0.5304.89|2022-11-08
107.0.5304.106|2022-11-08
107.0.5304.107|2022-11-08
107.0.5304.108|2022-11-24
107.0.5304.121|2022-11-24
107.0.5304.122|2022-11-24
107.0.5304.123|2022-11-29
108.0.5359.71|2022-11-29
108.0.5359.72|2022-11-29
108.0.5359.73|2022-12-02
108.0.5359.94|2022-12-02
108.0.5359.95|2022-12-02
108.0.5359.96|2022-12-07
108.0.5359.98|2022-12-07
108.0.5359.99|2022-12-07
108.0.5359.100|2022-12-13
108.0.5359.124|2022-12-13
108.0.5359.125|2022-12-13
108.0.5359.126|2023-01-10
109.0.5414.74|2023-01-10
109.0.5414.75|2023-01-10
109.0.5414.76|2023-01-24
109.0.5414.119|2023-01-24
109.0.5414.120|2023-01-24
109.0.5414.121|2023-02-01
109.0.5414.122|2023-02-13
110.0.5481.77|2023-02-01
110.0.5481.78|2023-02-07
110.0.5481.96|2023-02-13
110.0.5481.97|2023-02-13
110.0.5481.100|2023-02-14
110.0.5481.104|2023-02-16
110.0.5481.105|2023-02-22
110.0.5481.177|2023-02-22
110.0.5481.178|2023-02-22
110.0.5481.179|2023-03-01
110.0.5481.180|2023-03-06
111.0.5563.50|2023-03-01
111.0.5563.64|2023-03-06
111.0.5563.65|2023-03-07
111.0.5563.66|2023-03-21
111.0.5563.110|2023-03-21
111.0.5563.111|2023-03-21
111.0.5563.112|2023-03-27
111.0.5563.146|2023-03-27
111.0.5563.147|2023-03-27
111.0.5563.148|2023-03-29
111.0.5563.149|2023-04-12
112.0.5615.49|2023-03-29
112.0.5615.50|2023-04-04
112.0.5615.86|2023-04-12
112.0.5615.87|2023-04-12
112.0.5615.121|2023-04-14
112.0.5615.122|2023-04-18
112.0.5615.137|2023-04-18
112.0.5615.138|2023-04-18
112.0.5615.139|2023-04-26
112.0.5615.140|2023-05-08
113.0.5672.63|2023-04-26
113.0.5672.64|2023-05-02
113.0.5672.92|2023-05-08
113.0.5672.93|2023-05-08
113.0.5672.94|2023-05-16
113.0.5672.126|2023-05-16
113.0.5672.127|2023-05-16
113.0.5672.128|2023-05-24
113.0.5672.129|2023-05-30
114.0.5735.45|2023-05-24
114.0.5735.90|2023-05-30
114.0.5735.91|2023-05-30
114.0.5735.110|2023-06-05
114.0.5735.111|2023-06-13
114.0.5735.133|2023-06-13
114.0.5735.134|2023-06-13
114.0.5735.135|2023-06-26
114.0.5735.198|2023-06-26
114.0.5735.199|2023-06-26
114.0.5735.200|2023-07-12
114.0.5735.201|2023-07-17
114.0.5735.248|2023-07-20
115.0.5790.90|2023-07-12
115.0.5790.98|2023-07-17
115.0.5790.99|2023-07-18
115.0.5790.102|2023-07-21
115.0.5790.110|2023-07-25
115.0.5790.111|2023-08-02
115.0.5790.170|2023-08-02
115.0.5790.171|2023-08-02
115.0.5790.172|2023-08-09
115.0.5790.173|2023-08-14
116.0.5845.82|2023-08-09
116.0.5845.96|2023-08-14
116.0.5845.97|2023-08-15
116.0.5845.98|2023-08-22
116.0.5845.110|2023-08-22
116.0.5845.111|2023-08-22
116.0.5845.112|2023-08-29
116.0.5845.140|2023-08-29
116.0.5845.141|2023-08-29
116.0.5845.142|2023-09-05
116.0.5845.179|2023-09-05
116.0.5845.180|2023-09-05
116.0.5845.181|2023-09-06
116.0.5845.182|2023-09-11
116.0.5845.187|2023-09-11
116.0.5845.188|2023-09-11
116.0.5845.189|2023-09-12
116.0.5845.190|2023-09-15
117.0.5938.48|2023-09-06
117.0.5938.62|2023-09-12
117.0.5938.63|2023-09-12
117.0.5938.88|2023-09-15
117.0.5938.89|2023-09-15
117.0.5938.92|2023-09-21
117.0.5938.132|2023-09-27
117.0.5938.134|2023-10-03
117.0.5938.149|2023-10-03
117.0.5938.150|2023-10-03
117.0.5938.151|2023-10-05
117.0.5938.152|2023-10-10
118.0.5993.54|2023-10-05
118.0.5993.70|2023-10-10
118.0.5993.71|2023-10-10
118.0.5993.72|2023-10-17
118.0.5993.88|2023-10-17
118.0.5993.89|2023-10-17
118.0.5993.90|2023-10-24
118.0.5993.117|2023-10-24
118.0.5993.118|2023-10-24
118.0.5993.119|2023-10-26
118.0.5993.120|2023-10-31
119.0.6045.59|2023-10-26
119.0.6045.105|2023-10-31
119.0.6045.106|2023-10-31
119.0.6045.107|2023-11-07
119.0.6045.123|2023-11-07
119.0.6045.124|2023-11-07
119.0.6045.125|2023-11-14
119.0.6045.159|2023-11-14
119.0.6045.160|2023-11-14
119.0.6045.161|2023-11-28
119.0.6045.199|2023-11-28
119.0.6045.200|2023-11-28
119.0.6045.201|2023-11-29
119.0.6045.202|2023-12-04
120.0.6099.56|2023-11-29
120.0.6099.62|2023-12-04
120.0.6099.63|2023-12-05
120.0.6099.71|2023-12-06
120.0.6099.72|2023-12-13
120.0.6099.109|2023-12-13
120.0.6099.110|2023-12-13
120.0.6099.111|2023-12-20
120.0.6099.129|2023-12-20
120.0.6099.130|2023-12-20
120.0.6099.131|2024-01-03
120.0.6099.199|2024-01-03
120.0.6099.200|2024-01-03
120.0.6099.201|2024-01-09
120.0.6099.216|2024-01-09
120.0.6099.217|2024-01-09
120.0.6099.218|2024-01-16
120.0.6099.224|2024-01-16
120.0.6099.225|2024-01-16
120.0.6099.226|2024-01-17
120.0.6099.227|2024-01-22
121.0.6167.75|2024-01-17
121.0.6167.85|2024-01-22
121.0.6167.86|2024-01-23
121.0.6167.87|2024-01-30
121.0.6167.139|2024-01-30
121.0.6167.140|2024-01-30
121.0.6167.141|2024-02-06
121.0.6167.160|2024-02-06
121.0.6167.161|2024-02-06
121.0.6167.162|2024-02-13
121.0.6167.184|2024-02-13
121.0.6167.185|2024-02-13
121.0.6167.186|2024-02-14
121.0.6167.187|2024-02-20
121.0.6167.189|2024-02-22
122.0.6261.39|2024-02-14
122.0.6261.57|2024-02-20
122.0.6261.58|2024-02-20
122.0.6261.69|2024-02-22
122.0.6261.70|2024-02-22
122.0.6261.71|2024-02-27
122.0.6261.94|2024-02-27
122.0.6261.95|2024-02-27
122.0.6261.96|2024-03-05
122.0.6261.111|2024-03-05
122.0.6261.112|2024-03-05
122.0.6261.113|2024-03-12
122.0.6261.128|2024-03-12
122.0.6261.129|2024-03-12
122.0.6261.130|2024-03-13
122.0.6261.131|2024-03-19
123.0.6312.46|2024-03-13
123.0.6312.58|2024-03-19
123.0.6312.59|2024-03-19
123.0.6312.60|2024-03-26
123.0.6312.86|2024-03-26
123.0.6312.87|2024-03-26
123.0.6312.88|2024-04-02
123.0.6312.105|2024-04-02
123.0.6312.106|2024-04-02
123.0.6312.107|2024-04-10
123.0.6312.122|2024-04-10
123.0.6312.123|2024-04-10
123.0.6312.124|2024-04-15
124.0.6367.60|2024-04-15
124.0.6367.61|2024-04-16
124.0.6367.62|2024-04-23
124.0.6367.63|2024-04-25
124.0.6367.78|2024-04-23
124.0.6367.79|2024-04-23
124.0.6367.91|2024-04-25
124.0.6367.92|2024-04-25
124.0.6367.93|2024-04-30
124.0.6367.118|2024-04-30
124.0.6367.119|2024-04-30
124.0.6367.155|2024-05-07
124.0.6367.156|2024-05-07
124.0.6367.157|2024-05-08
124.0.6367.158|2024-05-09
124.0.6367.201|2024-05-09
124.0.6367.202|2024-05-09
124.0.6367.203|2024-05-13
124.0.6367.207|2024-05-13
124.0.6367.208|2024-05-13
124.0.6367.209|2024-05-15
124.0.6367.210|2024-05-21
125.0.6422.41|2024-05-08
125.0.6422.60|2024-05-15
125.0.6422.61|2024-05-15
125.0.6422.76|2024-05-21
125.0.6422.77|2024-05-21
125.0.6422.78|2024-05-23
125.0.6422.112|2024-05-23
125.0.6422.113|2024-05-23
125.0.6422.114|2024-05-30
125.0.6422.141|2024-05-30
125.0.6422.142|2024-05-30
125.0.6422.143|2024-06-05
125.0.6422.144|2024-06-11
125.0.6422.176|2024-06-13
126.0.6478.36|2024-06-05
126.0.6478.56|2024-06-11
126.0.6478.57|2024-06-11
126.0.6478.61|2024-06-13
126.0.6478.62|2024-06-13
126.0.6478.63|2024-06-18
126.0.6478.114|2024-06-18
126.0.6478.115|2024-06-18
126.0.6478.116|2024-06-24
126.0.6478.126|2024-06-24
126.0.6478.127|2024-06-24
126.0.6478.128|2024-07-16
126.0.6478.182|2024-07-16
126.0.6478.183|2024-07-16
126.0.6478.184|2024-07-17
126.0.6478.185|2024-07-23
127.0.6533.57|2024-07-17
127.0.6533.72|2024-07-23
127.0.6533.73|2024-07-23
127.0.6533.74|2024-07-30
127.0.6533.88|2024-07-30
127.0.6533.89|2024-07-30
127.0.6533.90|2024-08-06
127.0.6533.99|2024-08-06
127.0.6533.100|2024-08-06
127.0.6533.101|2024-08-13
127.0.6533.119|2024-08-13
127.0.6533.120|2024-08-13
127.0.6533.121|2024-08-14
127.0.6533.122|2024-08-21
128.0.6613.36|2024-08-14
128.0.6613.84|2024-08-21
128.0.6613.85|2024-08-21
128.0.6613.86|2024-08-28
128.0.6613.113|2024-08-28
128.0.6613.114|2024-08-28
128.0.6613.115|2024-09-02
128.0.6613.119|2024-09-02
128.0.6613.120|2024-09-02
128.0.6613.121|2024-09-10
128.0.6613.122|2024-09-11
128.0.6613.137|2024-09-10
128.0.6613.138|2024-09-10
128.0.6613.139|2024-09-17
129.0.6668.42|2024-09-11
129.0.6668.58|2024-09-17
129.0.6668.59|2024-09-17
129.0.6668.60|2024-09-24
129.0.6668.70|2024-09-24
129.0.6668.71|2024-09-24
129.0.6668.72|2024-10-01
129.0.6668.89|2024-10-01
129.0.6668.90|2024-10-01
129.0.6668.100|2024-10-08
129.0.6668.101|2024-10-08
129.0.6668.102|2024-10-09
129.0.6668.103|2024-10-15
130.0.6723.44|2024-10-09
130.0.6723.58|2024-10-15
130.0.6723.59|2024-10-15
130.0.6723.60|2024-10-22
130.0.6723.69|2024-10-22
130.0.6723.70|2024-10-22
130.0.6723.71|2024-10-29
130.0.6723.91|2024-10-29
130.0.6723.92|2024-10-29
130.0.6723.93|2024-11-05
130.0.6723.116|2024-11-05
130.0.6723.117|2024-11-05
130.0.6723.118|2024-11-06
130.0.6723.119|2024-11-12
131.0.6778.33|2024-11-06
131.0.6778.69|2024-11-12
131.0.6778.70|2024-11-12
131.0.6778.71|2024-11-19
131.0.6778.85|2024-11-19
131.0.6778.86|2024-11-19
131.0.6778.87|2024-12-03
131.0.6778.108|2024-12-03
131.0.6778.109|2024-12-03
131.0.6778.110|2024-12-10
131.0.6778.139|2024-12-10
131.0.6778.140|2024-12-10
131.0.6778.141|2024-12-18
131.0.6778.204|2024-12-18
131.0.6778.205|2024-12-18
131.0.6778.206|2025-01-07
131.0.6778.264|2025-01-07
131.0.6778.265|2025-01-07
131.0.6778.266|2025-01-08
131.0.6778.267|2025-01-22
132.0.6834.83|2025-01-08
132.0.6834.84|2025-01-14
132.0.6834.110|2025-01-22
132.0.6834.111|2025-01-22
132.0.6834.112|2025-01-28
