# source: https://get.geo.opera.com/pub/opera/desktop/
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
60.0.3255.83|2023-09-18
60.0.3255.84|2023-09-18
60.0.3255.95|2023-09-18
60.0.3255.109|2023-09-18
60.0.3255.116|2023-09-18
60.0.3255.125|2023-09-18
60.0.3255.141|2023-09-18
60.0.3255.151|2023-09-18
60.0.3255.160|2023-09-18
60.0.3255.170|2023-09-18
62.0.3331.18|2023-09-18
62.0.3331.43|2023-09-18
62.0.3331.66|2023-09-18
62.0.3331.72|2023-09-18
62.0.3331.99|2023-09-18
62.0.3331.101|2023-09-18
62.0.3331.116|2023-09-18
62.0.3331.119|2023-09-18
63.0.3368.35|2023-09-18
63.0.3368.43|2023-09-18
63.0.3368.53|2023-09-18
63.0.3368.66|2023-09-18
63.0.3368.71|2023-09-18
63.0.3368.75|2023-09-18
63.0.3368.88|2023-09-18
63.0.3368.94|2023-09-18
63.0.3368.107|2023-09-18
64.0.3417.47|2023-09-18
64.0.3417.54|2023-09-18
64.0.3417.61|2023-09-18
64.0.3417.70|2023-09-18
64.0.3417.73|2023-09-18
64.0.3417.83|2023-09-18
64.0.3417.92|2023-09-18
64.0.3417.119|2019-11-20
64.0.3417.126|2019-11-22
65.0.3467.38|2023-09-18
65.0.3467.42|2023-09-18
65.0.3467.48|2023-09-18
65.0.3467.62|2023-09-18
65.0.3467.69|2023-09-18
65.0.3467.72|2023-09-18
65.0.3467.78|2023-09-18
66.0.3515.27|2023-09-18
66.0.3515.36|2023-09-18
66.0.3515.44|2023-09-18
66.0.3515.60|2020-01-30
66.0.3515.72|2023-09-18
66.0.3515.95|2023-09-18
66.0.3515.103|2023-09-18
66.0.3515.115|2023-09-18
67.0.3575.31|2023-09-18
67.0.3575.53|2023-09-18
67.0.3575.79|2023-09-18
67.0.3575.97|2023-09-18
67.0.3575.115|2023-09-18
67.0.3575.137|2023-09-18
68.0.3618.46|2023-09-18
68.0.3618.56|2023-09-18
68.0.3618.63|2023-09-18
68.0.3618.91|2023-09-18
68.0.3618.104|2023-09-18
68.0.3618.125|2023-09-18
68.0.3618.165|2023-09-18
68.0.3618.173|2023-09-18
69.0.3686.36|2023-09-18
69.0.3686.49|2023-09-18
69.0.3686.57|2023-09-18
69.0.3686.77|2023-09-18
69.0.3686.95|2023-09-18
70.0.3728.71|2023-09-18
70.0.3728.95|2023-09-18
70.0.3728.106|2023-09-18
70.0.3728.119|2023-09-18
70.0.3728.133|2023-09-18
70.0.3728.144|2023-09-18
70.0.3728.154|2023-09-18
70.0.3728.178|2023-09-18
70.0.3728.189|2023-09-18
71.0.3770.148|2023-09-18
71.0.3770.171|2023-09-18
71.0.3770.198|2023-09-18
71.0.3770.228|2023-09-18
71.0.3770.271|2023-09-18
71.0.3770.284|2023-09-18
72.0.3815.148|2023-09-18
72.0.3815.178|2020-10-28
72.0.3815.186|2023-09-18
72.0.3815.200|2023-09-18
72.0.3815.207|2023-09-18
72.0.3815.211|2023-09-18
72.0.3815.320|2023-09-18
72.0.3815.354|2020-12-07
72.0.3815.355|2020-12-04
72.0.3815.371|2023-09-18
72.0.3815.378|2023-09-18
72.0.3815.400|2023-09-18
73.0.3856.257|2023-09-18
73.0.3856.284|2023-09-18
73.0.3856.329|2023-09-18
73.0.3856.344|2023-09-18
74.0.3911.75|2023-09-18
74.0.3911.107|2023-09-18
74.0.3911.139|2023-09-18
74.0.3911.144|2023-09-18
74.0.3911.154|2023-09-18
74.0.3911.160|2023-09-18
74.0.3911.203|2023-09-18
74.0.3911.218|2023-09-18
74.0.3911.232|2023-09-18
75.0.3969.93|2023-09-18
75.0.3969.141|2023-09-18
75.0.3969.149|2023-09-18
75.0.3969.171|2023-09-18
75.0.3969.218|2023-09-18
75.0.3969.243|2023-09-18
75.0.3969.250|2021-04-28
76.0.4017.94|2023-09-18
76.0.4017.107|2023-09-18
76.0.4017.123|2023-09-18
76.0.4017.137|2023-09-18
76.0.4017.154|2023-09-18
76.0.4017.175|2023-09-18
76.0.4017.177|2023-09-18
77.0.4054.60|2023-09-18
77.0.4054.64|2023-09-18
77.0.4054.80|2023-09-18
77.0.4054.90|2023-09-18
77.0.4054.146|2023-09-18
77.0.4054.172|2023-09-18
77.0.4054.203|2023-09-18
77.0.4054.254|2023-09-18
77.0.4054.277|2023-09-18
78.0.4093.112|2023-09-18
78.0.4093.147|2023-09-18
78.0.4093.184|2023-09-18
78.0.4093.231|2023-09-18
79.0.4143.22|2023-09-18
79.0.4143.50|2023-09-18
79.0.4143.56|2023-09-18
79.0.4143.66|2023-09-18
79.0.4143.72|2023-09-18
80.0.4170.16|2023-09-18
80.0.4170.40|2023-09-18
80.0.4170.63|2023-09-18
80.0.4170.72|2023-09-18
81.0.4196.31|2023-09-18
81.0.4196.37|2023-09-18
81.0.4196.54|2023-09-18
81.0.4196.60|2023-09-18
82.0.4227.23|2023-09-18
82.0.4227.33|2023-09-18
82.0.4227.43|2023-09-18
82.0.4227.58|2023-09-18
83.0.4254.19|2023-09-18
83.0.4254.27|2023-09-18
83.0.4254.54|2023-09-18
83.0.4254.62|2023-09-18
84.0.4316.14|2023-09-18
84.0.4316.21|2023-09-18
84.0.4316.31|2023-09-18
84.0.4316.42|2023-09-18
85.0.4341.18|2023-09-18
